Article_ID,Headline,Keywords,News_Category,Pub_Date,Section_Name,Snippet,Media_Type,URL
5a6fdfb710f40f00018be633,Like Most Pet Dogs,"['Crossword Puzzles', 'Demolition', 'Dogs', 'Get Out (Movie)']", Gaming,1/30/2018 3:00,Unknown,Emily Carroll rewards our good behavior.,News,https://www.nytimes.com/2018/01/29/crosswords/daily-puzzle-2018-01-30.html
5a6fdfb710f40f00018be632,"‘The Alienist’ Season 1, Episode 2: Darkness Descends","['Television', 'The Alienist (TV Program)']", Travel & Events,1/30/2018 3:00,Television,"In an episode dominated by images of eyes, many of the most significant exchanges relied on little or no speech at all.",Review,https://www.nytimes.com/2018/01/29/arts/television/the-alienist-recap-a-fruitful-partnership.html
5a6fcca610f40f00018be620,"How to Get a Wiretap To Spy on Americans, And Why It Matters Now","['Surveillance of Citizens by Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'Wiretapping and Other Eavesdropping Devices and Methods', 'Foreign Intelligence Surveillance Act (FISA)', 'Espionage and Intelligence Services', 'Foreign Intelligence Surveillance Court', 'House Committee on Intelligence', 'Justice Department', 'Nunes, Devin G', 'Page, Carter', 'Rosenstein, Rod J', 'Trump, Donald J']", News & Politics,1/30/2018 1:38,Politics,How do FISA wiretap applications work? A fight over a classified memo written by Republicans on the House Intelligence Committee has heightened interest in the topic.,News,https://www.nytimes.com/2018/01/29/us/politics/fisa-surveillance-applications-how-they-work.html
5a6fcb0010f40f00018be61a,Celebrities Turn Awards Stages Into Soapboxes for ‘Resistance’,"['Celebrities', 'United States Politics and Government', 'Awards, Decorations and Honors', 'Clinton, Hillary Rodham', 'Fire and Fury: Inside the Trump White House (Book)', 'ABC Inc', 'Academy Awards (Oscars)', 'Grammy Awards', '#MeToo Movement', 'Trump, Donald J', 'Television']", Travel & Events,1/30/2018 1:31,Unknown,Hillary Clinton’s cameo at the Grammys set off a debate about how far glitzy awards shows should go in needling Democrats’ favorite target.,News,https://www.nytimes.com/2018/01/29/arts/hillary-clinton-grammys-oscars.html
5a6fc92e10f40f00018be617,President’s Supporters Fear He Will Go Too Soft At State of Union Speech,"['Trump, Donald J', 'State of the Union Message (US)', 'Illegal Immigration', 'Republican Party', 'United States Politics and Government', 'Miller, Stephen (1985- )', 'Infrastructure (Public Works)']", News & Politics,1/30/2018 1:23,Politics,"White House signals have hard-line supporters worried that he will praise bipartisanship instead of ideology. The speech is at 9 p.m. ET, and we’ll have live coverage.",News,https://www.nytimes.com/2018/01/29/us/politics/trump-state-of-the-union-speech-preview.html
5a6fc70210f40f00018be613,Unknown,"['Space and Astronomy', 'Moon', 'Eclipses', 'Far East, South and Southeast Asia and Pacific Areas', 'United States', 'Australia']", Science & Technology,1/30/2018 1:14,Unknown,"On Wednesday, Earth will cast its shadow over the second full moon of January, making it turn red in a lunar eclipse. Here’s when and where you can see it.",News,https://www.nytimes.com/2018/01/29/science/super-blood-blue-moon-eclipse.html
5a6fbcfb10f40f00018be5fe,Are We Ready for a Third Party?,"['Third-Party Politics (US)', 'United States Politics and Government', 'Democratic Party', 'Republican Party']", People & Blogs,1/30/2018 0:31,Unknown,"Given the level of angst with the direction of the party, there’s never been a better time to start something new.",Op-Ed,https://www.nytimes.com/2018/01/29/opinion/republicans-third-party-.html
5a6fba5410f40f00018be5f9,Poland’s Holocaust Blame Bill,"['Poland', 'Holocaust and the Nazi Era', 'World War II (1939-45)', 'Concentration Camps', 'Auschwitz Concentration Camp', 'Law and Legislation']", People & Blogs,1/30/2018 0:20,Unknown,"In a wrongheaded effort to rewrite history, Poland’s Parliament is debating a bill to criminalize discussion of that nation’s role in the Holocaust.",Editorial,https://www.nytimes.com/2018/01/29/opinion/poland-holocaust-bill-parliament.html
5a6fb92a10f40f00018be5f6,Unknown,"['Haley, Nikki R', 'Fire and Fury: Inside the Trump White House (Book)', 'Grammy Awards', '#MeToo Movement', 'Sexual Harassment', 'Women and Girls', 'United Nations', 'Clinton, Hillary Rodham', 'Wolff, Michael (1953- )', 'Trump, Donald J']", People & Blogs,1/30/2018 0:15,Unknown,Imagine what the reaction would be to a rumor that Barack Obama’s ambassador to the United Nations was sleeping with him.,Op-Ed,https://www.nytimes.com/2018/01/29/opinion/nikki-haley-slutshaming-clinton-grammys.html
5a6fb4e210f40f00018be5e7,The East  Germans of the  21st Century,"['Immigration and Emigration', 'Murray, Charles Alan (1943- )', 'Republican Party']", People & Blogs,1/29/2018 23:57,Unknown,The ethnic model embraced by immigration restrictionists has been a failure.,Op-Ed,https://www.nytimes.com/2018/01/29/opinion/east-germany-immigration-usa.html
